Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	IO	MemAlloc	O3
mandelbrot_pth	triple_spiral.log	16	1	0.001987	0.0000699	1.49	0.75	2,596,495	2,227,180	0	1	0
mandelbrot_pth	triple_spiral.log	16	2	0.0010293	0.0000149	0.98	0.95	2,872,560	2,294,047	0	1	0
mandelbrot_pth	triple_spiral.log	16	4	0.0015692	0.0000347	1.8	1.146	3,070,916	2,428,589	0	1	0
mandelbrot_pth	triple_spiral.log	16	8	0.0011671	0.0000297	1.6	1.375	4,340,333	2,747,496	0	1	0
mandelbrot_pth	triple_spiral.log	16	16	0.002339	0.000271	2.91	1.243	5,196,042	3,332,083	0	1	0
mandelbrot_pth	triple_spiral.log	16	32	0.003248	0.000236	3.47	1.067	5,854,804	3,064,506	0	1	0
mandelbrot_pth	triple_spiral.log	32	1	0.003811	0.000244	3.4	0.893	6,493,224	6,329,318	0	1	0
mandelbrot_pth	triple_spiral.log	32	2	0.002437	0.000294	3.02	1.24	6,626,208	6,410,296	0	1	0
mandelbrot_pth	triple_spiral.log	32	4	0.0029139	0.0000386	5.27	1.809	6,873,140	6,553,360	0	1	0
mandelbrot_pth	triple_spiral.log	32	8	0.00204	0.000115	4.32	2.117	7,954,319	6,879,013	0	1	0
mandelbrot_pth	triple_spiral.log	32	16	0.0022837	0.0000639	5.11	2.236	9,644,072	7,499,655	0	1	0
